EDS1						
001						
Formula	mass%	Atom%	Sigma	Net	K ratio	Line
C	7.66	56.28	0.04	11738	0.0602071	K
O	5.42	29.93	0.04	8068	0.0455136	K
Al	0.18	0.6	0.01	896	0.0009698	K
Si	0.27	0.84	0.01	1480	0.0017827	K
S	0.34	0.93	0.01	2098	0.0033042	K
Cl*	0.08	0.19	0.01	502	0.0008314	K
Cu	0.42	0.58	0.02	571	0.0037832	K
Sn	13.3	9.89	0.06	43100	0.113747	L
Ba	1.18	0.76	0.03	2586	0.0091001	L
Total	28.83	100				
002						
Formula	mass%	Atom%	Sigma	Net	K ratio	Line
C	6.26	55.84	0.04	10547	0.054098	K
O	4.31	28.87	0.03	6991	0.0394374	K
Al	0.19	0.74	0.01	918	0.000994	K
Si	0.17	0.64	0.01	941	0.0011339	K
S	0.29	0.96	0.01	1801	0.0028352	K
Cl*	0.08	0.24	0.01	515	0.0008517	K
Co*	0.02	0.04	0.01	40	0.0001895	K
Sn	13	11.74	0.06	42615	0.1124682	L
Ba	1.18	0.92	0.03	2592	0.0091228	L
Total	25.5	100				
003						
Formula	mass%	Atom%	Sigma	Net	K ratio	Line
C	15.3	64.42	0.07	14217	0.0729203	K
O	9.22	29.14	0.06	7120	0.040166	K
Al	0.17	0.31	0.01	845	0.0009149	K
Si	0.59	1.06	0.01	3372	0.0040629	K
S	1.16	1.83	0.01	7117	0.0112062	K
Cl	0.21	0.3	0.01	1319	0.0021826	K
Fe*	0.02	0.02	0.01	39	0.0001573	K
Sn	3.04	1.3	0.03	9342	0.0246555	L
Ba	4.37	1.61	0.03	10299	0.0362457	L
Total	34.08	100				
EDS2						
001						
Formula	mass%	Atom%	Sigma	Net	K ratio	Line
C	6.73	54.65	0.03	12191	0.0625313	K
O	5.16	31.48	0.03	8539	0.0481695	K
Al*	0.03	0.11	0.01	153	0.0001658	K
Si	0.13	0.44	0.01	711	0.0008563	K
S	0.19	0.57	0.01	1189	0.0018717	K
Cl*	0.06	0.16	0.01	388	0.0006423	K
Fe*	0.02	0.04	0.01	51	0.0002082	K
Cu*	0.14	0.21	0.02	188	0.0012458	K
Sn	14.18	11.65	0.06	46574	0.1229145	L
Ba*	0.95	0.68	0.03	2088	0.0073491	L
Total	27.59	100				
002						
Formula	mass%	Atom%	Sigma	Net	K ratio	Line
C	6.69	58.67	0.04	10912	0.0559706	K
O	4.2	27.66	0.03	6196	0.0349541	K
Al*	0.07	0.26	0.01	329	0.0003564	K
Si	0.18	0.69	0.01	1027	0.0012378	K
S	0.33	1.1	0.01	2095	0.0032995	K
Cl*	0.07	0.2	0.01	427	0.0007061	K
Fe*	0.11	0.21	0.01	239	0.0009742	K
Co*	0.01	0.02	0.01	17	0.0000833	K
Sn	11.51	10.21	0.05	37491	0.0989443	L
Ba	1.3	1	0.03	2860	0.0100646	L
Total	24.47	100				
003						
Formula	mass%	Atom%	Sigma	Net	K ratio	Line
C	14.72	66.19	0.07	14928	0.0765658	K
O	8.28	27.94	0.06	6235	0.0351745	K
Al	0.1	0.21	0.01	538	0.0005822	K
Si	0.58	1.11	0.01	3369	0.0040588	K
S	0.76	1.28	0.01	4713	0.0074208	K
Cl	0.21	0.32	0.01	1317	0.0021795	K
Cu*	0.07	0.06	0.01	89	0.0005901	K
Sn	3.91	1.78	0.03	12078	0.0318764	L
Ba	2.82	1.11	0.03	6560	0.023085	L
Total	31.45	100				